Categoría: Todas las categorías

Semana,QR code: (Todo el mundo)
2016-10-02,18
2016-10-09,19
2016-10-16,19
2016-10-23,19
2016-10-30,18
2016-11-06,19
2016-11-13,21
2016-11-20,27
2016-11-27,29
2016-12-04,37
2016-12-11,28
2016-12-18,26
2016-12-25,32
2017-01-01,27
2017-01-08,26
2017-01-15,23
2017-01-22,24
2017-01-29,23
2017-02-05,22
2017-02-12,23
2017-02-19,23
2017-02-26,22
2017-03-05,23
2017-03-12,22
2017-03-19,21
2017-03-26,23
2017-04-02,20
2017-04-09,21
2017-04-16,21
2017-04-23,20
2017-04-30,21
2017-05-07,21
2017-05-14,21
2017-05-21,21
2017-05-28,18
2017-06-04,21
2017-06-11,21
2017-06-18,19
2017-06-25,20
2017-07-02,21
2017-07-09,21
2017-07-16,23
2017-07-23,22
2017-07-30,22
2017-08-06,23
2017-08-13,24
2017-08-20,21
2017-08-27,22
2017-09-03,24
2017-09-10,24
2017-09-17,24
2017-09-24,24
2017-10-01,23
2017-10-08,24
2017-10-15,23
2017-10-22,22
2017-10-29,22
2017-11-05,25
2017-11-12,25
2017-11-19,26
2017-11-26,26
2017-12-03,25
2017-12-10,26
2017-12-17,25
2017-12-24,29
2017-12-31,27
2018-01-07,26
2018-01-14,25
2018-01-21,24
2018-01-28,26
2018-02-04,25
2018-02-11,24
2018-02-18,25
2018-02-25,23
2018-03-04,24
2018-03-11,25
2018-03-18,25
2018-03-25,26
2018-04-01,23
2018-04-08,24
2018-04-15,25
2018-04-22,25
2018-04-29,24
2018-05-06,24
2018-05-13,25
2018-05-20,23
2018-05-27,22
2018-06-03,24
2018-06-10,24
2018-06-17,23
2018-06-24,24
2018-07-01,23
2018-07-08,24
2018-07-15,24
2018-07-22,24
2018-07-29,26
2018-08-05,26
2018-08-12,26
2018-08-19,27
2018-08-26,29
2018-09-02,27
2018-09-09,26
2018-09-16,28
2018-09-23,27
2018-09-30,28
2018-10-07,28
2018-10-14,28
2018-10-21,28
2018-10-28,28
2018-11-04,27
2018-11-11,27
2018-11-18,28
2018-11-25,29
2018-12-02,29
2018-12-09,27
2018-12-16,28
2018-12-23,29
2018-12-30,27
2019-01-06,28
2019-01-13,27
2019-01-20,28
2019-01-27,29
2019-02-03,30
2019-02-10,29
2019-02-17,28
2019-02-24,28
2019-03-03,31
2019-03-10,29
2019-03-17,31
2019-03-24,30
2019-03-31,29
2019-04-07,30
2019-04-14,28
2019-04-21,31
2019-04-28,30
2019-05-05,30
2019-05-12,29
2019-05-19,29
2019-05-26,31
2019-06-02,28
2019-06-09,30
2019-06-16,32
2019-06-23,31
2019-06-30,32
2019-07-07,30
2019-07-14,31
2019-07-21,32
2019-07-28,33
2019-08-04,31
2019-08-11,32
2019-08-18,34
2019-08-25,33
2019-09-01,37
2019-09-08,36
2019-09-15,38
2019-09-22,35
2019-09-29,36
2019-10-06,35
2019-10-13,37
2019-10-20,35
2019-10-27,34
2019-11-03,37
2019-11-10,38
2019-11-17,38
2019-11-24,35
2019-12-01,36
2019-12-08,35
2019-12-15,34
2019-12-22,35
2019-12-29,32
2020-01-05,34
2020-01-12,37
2020-01-19,37
2020-01-26,36
2020-02-02,39
2020-02-09,38
2020-02-16,40
2020-02-23,37
2020-03-01,41
2020-03-08,36
2020-03-15,33
2020-03-22,44
2020-03-29,43
2020-04-05,44
2020-04-12,41
2020-04-19,44
2020-04-26,45
2020-05-03,45
2020-05-10,48
2020-05-17,49
2020-05-24,48
2020-05-31,51
2020-06-07,56
2020-06-14,56
2020-06-21,57
2020-06-28,62
2020-07-05,58
2020-07-12,62
2020-07-19,60
2020-07-26,60
2020-08-02,61
2020-08-09,62
2020-08-16,61
2020-08-23,61
2020-08-30,61
2020-09-06,60
2020-09-13,63
2020-09-20,70
2020-09-27,60
2020-10-04,58
2020-10-11,53
2020-10-18,56
2020-10-25,56
2020-11-01,63
2020-11-08,60
2020-11-15,62
2020-11-22,55
2020-11-29,58
2020-12-06,58
2020-12-13,60
2020-12-20,61
2020-12-27,54
2021-01-03,54
2021-01-10,58
2021-01-17,55
2021-01-24,55
2021-01-31,57
2021-02-07,56
2021-02-14,55
2021-02-21,56
2021-02-28,58
2021-03-07,59
2021-03-14,59
2021-03-21,59
2021-03-28,59
2021-04-04,60
2021-04-11,61
2021-04-18,62
2021-04-25,61
2021-05-02,64
2021-05-09,67
2021-05-16,87
2021-05-23,82
2021-05-30,83
2021-06-06,89
2021-06-13,84
2021-06-20,84
2021-06-27,89
2021-07-04,91
2021-07-11,100
2021-07-18,93
2021-07-25,87
2021-08-01,89
2021-08-08,96
2021-08-15,87
2021-08-22,90
2021-08-29,91
2021-09-05,81
2021-09-12,89
2021-09-19,96
2021-09-26,93
